title,ingredients,method,Main ingredients,Cuisine,Course,Prep time,Cook time,Serve,Taste,Level of cooking,Veg/Non Veg
Lychees Stuffed With Kesari Mava,[],"['Mix together khoya, saffron, 2 tbsps sugar in a non stick kadai and saute for 3-4 minutes.', 'Transfer into a bowl and keep aside to cool for some time.', 'In another non stick pan cook together the remaining sugar and a little water till the sugar caramelizes.', 'Add butter and cooking cream and remove from heat.Stuff the lychees with the khoya mixture and refrigerate.', 'For serving, pour caramel butter sauce into one bowl and put pistachios in another bowl and place them in a serving plate.', 'Arrange stuffed lychees in the same serving plate and serve.']",,Indian,Desserts,,16-20 minutes,4,Sweet,,Veg
Vegan Hazelnut Spread - SK Khazana,[],"['Preheat the oven at 180@C.', 'Spread hazelnuts on a baking tray, keep the tray in the preheated oven and roast for 12-15 minutes or until they have browned a little. Take them out of the oven and set aside to cool down to room temperature.', 'Meanwhile, take dates in a bowl, add sufficient water and soak for 30 minutes.(If using soft dates then you need not soak them.)', 'Transfer the roasted hazelnuts into a grinder jar, grind to a fine powder. Drain and add the dates along with cocoa powder and a little water and grind. Add 2 tbsps water and blend till smooth. You can store in an air tight container for upto 2 weeks.', 'Or transfer into a bowl and serve as a dip with apple slices. or serve with apple slices or as required.']",,Fusion,Dips,,21-25 minutes,4,Sweet,,Veg
Khatta Meetha Kaddu,[],"['Heat mustard oil in a non-stick pan till it smokes. Add fenugreek seeds, green chillies and ginger, mix and saute till fragrant.', 'Add turmeric powder, chilli powder and coriander powder and mix well. Add pumpkin and mix. Add sufficient water, mix, cover and cook till pumpkin is tender.', 'Add sugar, garam masala powder, dried mango powder, salt and coriander leaves and mix well.', 'Garnish with coriander sprig and serve hot.']",,Indian,Main Course Vegetarian,,16-20 minutes,4,Sweet & Sour,,Veg
Overload Chocolate Cookies,[],"['Preheat oven to 175deg C. Line a baking tray with parchment paper.', 'Cream butter with sugar in a bowl till smooth. Add egg and mix well.', 'Sieve together refined flour, cocoa powder, baking soda and salt into the butter-sugar mixture and fold well.', 'Mix coffee powder in a little warm water, mix well and add to the mixture along with vanilla essence and mix well.', 'Fold in the chocolate chips and walnuts and knead into a dough.', 'Divide the dough into twelve equal portions, flatten them to shape into cookies and place on the baking tray.', 'Place the tray in the preheated oven and bake for ten to twelve minutes. Remove from heat and cool down to room temperature.', 'Serve.']",,British,Snacks and Starters,,1.30-2 hour,4,Sweet,,Non Veg
Pizza Samosa,"['Readymade samosa dough as required', '2 tablespoons oil + to deep fry', '1 medium onion, cut into  1/2  inch cubes', '1 medium green capsicum, cut into  1/2  inch cubes', ' 1/2  cup boiled corn kernels', ' 1/4  cup tomato puree', '150 grams cottage cheese (paneer), cut into  1/2  inch cubes', 'Salt to taste', ' 1/4  cup green peas, blanched', ' 1/2  tablespoon dried mixed herbs + to sprinkle', ' 1/2  teaspoon red chilli flakes + to sprinkle', '100 grams mozzarella cheese, cut into  1/2  inch cubes', 'Parmesan cheese powder to sprinkle', 'Tomato ketchup to serve']","['Heat oil in a non-stick pan, add onion and saute for a minute. Add capsicum and corn kernels and cook for 1 minute.', 'Add tomato puree and cook for 1 minute on medium heat. Add paneer, salt and green peas and mix. Saute for 1a minute and switch off heat. Transfer into a bowl.', 'Add dried mixed herbs, red chilli flakes and mozzarella cheese and mix well.', 'Heat sufficient fortune oil a kadai.', 'Lightly knead the dough, divide into equal medium portions and roll them into thin oval discs. Halve each disc.', 'Take water in a bowl. Apply water on the edges of each halved disc, shape into a cone, fill in the prepared filling, apply water on edges and seal the edges to form a triangle.', 'Slide in the samosas into hot oil and deep fry till golden and crisp. Keep rotating the samosas occasionally so that they are evenly cook all around. Drain on absorbent paper.', 'Sprinkle parmesan cheese powder, crushed mixed herbs and red chilli flakes on them.', 'Arrange on a platter and serve hot with tomato ketchup.']",,Fusion,Snacks and Starters,,16-20 minutes,4,Mild,,Veg
German Loaf,[],"['Take yeast in a bowl. Add a pinch of castor sugar and 2 tablespoons warm water and mix well. Set aside to activate.', 'Put refined flour, wheat flour, 85 grams castor sugar and salt in an electric blender and blend. Add activated yeast and blend again.', 'Add lemon zest and blend. Add 225ml water gradually and blend to make a dough. Add oil and blend to make a soft dough.', 'Dust a bowl with some refined flour and transfer the dough into it. Cover with damp muslin cloth and set aside to prove for 20-25 minutes.', 'Grease a loaf tin with some butter and dust with some flour.', 'Dust the worktop with some flour, transfer the dough and knock back to release excess air.', 'Add almonds, figs, cranberries and prunes and knead well.', 'Transfer the prepared dough into the greased loaf tin, cover with damp muslin cloth and set aside to prove for 15-20 minutes.', 'Preheat oven to 180deg C.', 'Place the tin in the preheated oven and bake for 20-25 minutes, brushing with some butter. Remove from oven and cool.', 'Demould, slice and serve.']",,Fusion,Breads,,21-25 minutes,4,Sweet,,Veg
Gajar ke Murabbe ka Custard Cake,[],"['Heat 1 cup water in a non-stick pan, add carrot slices, saffron and sugar and cook for 4-5 minutes or till the carrots are completely cooked.', 'Leaving 1 cm border all around, slice a thin layer from the top of the cake. Scoop out some of the cake from this area to make a pocket.', 'Moisten the inner wall of the pocket with the sugar syrup. Crumble the scooped out cake and add to the carrot mixture.', 'Mix well and transfer the carrot mixture into the cake pocket. Roughly mash the set custard and put it over the carrot mixture.', 'Garnish with tutti fruity, blanched pistachios and chocolate sauce.', 'Cut into wedges, place on a serving plate and serve.']",,Indian,Desserts,,16-20 minutes,4,Sweet,,Veg
Keema Anda Curry - SK Khazana,[],"['Heat oil in a non-stick pan, add cumin seeds and onion, mix and saute till lightly browned.', 'Add salt, ginger-garlic paste and red chilli paste, mix and saute for a minute.', 'Add tomato puree and mix well. Add chilli powder, coriander powder, turmeric powder and cumin powder, mix and saute till oil separates from the masala.', 'Add chicken mince and mix well. Add salt and mix. Add garam masala powder and crushed peppercorns, mix and cook till the mince is fully done.', 'Quarter each egg and add to the pan. Add butter and coriander leaves and mix gently.', 'Transfer into a serving bowl, garnish with coriander sprig and serve hot.']",,Indian,Main Course Chicken,,21-25 minutes,4,Spicy,,Non Veg
Macaroni Mazaa,[],"['Heat sufficient water in a non-stick deep pan.', 'Add half teaspoon oil and a little salt and boil the macaroni till al dente. Drain and refresh. Spread out onto a plate.', 'Heat the remaining oil in a non-stick pan and add the onions and saute till translucent. Add the sweet corn and saute for a couple of minutes. Add the capsicum and baked beans and saute for three to four minutes.', 'Add the boiled macaroni, tomato ketchup, red chilli sauce, soy sauce and salt and toss gently. Add the cream and toss gently.', 'Sprinkle the cheese and serve hot.']",,Fusion,Noodles and Pastas,,11-15 minutes,4,Tangy,,Veg
Tea Pot Soup With Oriental Vegetables,[],"['Boil together chicken stock, vinegar, light soy sauce and salt in a deep pan. Reduce heat and simmer for three to four minutes. Add prawns and cook for half a minute or till the prawns turn pink.', 'Remove the prawns and place each prawn in a separate tea pot. Divide the mushrooms, chicken, almonds equally into four portions and place them in four teapots.', 'Pour the hot broth into each tea pot and serve immediately garnished with spinach leaves and lemon.']",,Fusion,Soups,,6-10 minutes,4,Mild,,Non Veg
Lasagna Pesto,[],"['Preheat oven to 180degC.', 'Heat oil in a non stick pan, add brinjal slices and cook lightly.Roughly chop onions and slice mushrooms.', 'Arrange 3 lasagna sheets in an ovenproof dish to cover the base. Spread 2 tbsps pesto sauce over them followed by mushrooms and onions.', 'Pour  1/4  cup white sauce over the vegetables and arrange 3 more lasagna sheets.Spread 2 tbspspesto sauce over them followed by  1/4  cup white sauce. Sprinkle  1/4  cup mozzarella cheese and arrange brinjal slices over it. Sprinkle black pepper powder.', 'Spread tomato concasse and arrange 3 more lasagna sheets. Over these spread the remaining pesto sauce, fresh basil leaves and  1/4  cup white sauce. Over this spread the remaining lasagna sheets topped with the remaining white sauce, remaining mozzarella cheese and parmesan cheese.', 'Bake in the preheated oven for 15-20 minutes. Serve hot.']",,Italian,Snacks and Starters,,11-15 minutes,,Mild,,Veg
Methi Chaman,[],"['Heat ghee in a non-stick pan, add caraway seeds, garlic and fenugreek leaves. Mix well and saute for 2 minutes.', 'Add salt and mix again. Saute for 2-3 minutes and add buttermilk. Mix and cook for 4-5 minutes.Cut paneer into  1/2  inch triangles.', 'Add turmeric powder, red chilli powder, green cardamom powder and white pepper powder to the fenugreek leaves in the pan. Mix well and cook for 3-4 minutes.', 'Add spinach puree and mix. Add paneer and mix well. Cook for 2-3 minutes more. Serve hot.']",,Kashmiri,Main Course Vegetarian,,11-15 minutes,4,Mild,,Veg
Burnt Garlic Vegetable Fried Rice,[],"['Finely chop garlic cloves, string the French beans and chop them finely. Finely shred cabbage, peel and grate carrot. Slice spring onion bulbs and finely chop the spring onion green stalk.', 'Boil sufficient water in a deep pan and add salt. Drain and add the rice cover and cook till the rice is  3/4  done. Drain and spread the rice on a plate to cool down.', 'Heat oil in a non-stick wok, add garlic and saute on high heat till golden brown. Add spring onion bulbs, mix and saute for 30 seconds.', 'Add French beans, carrot and cabbage, mix and saute for 1 minute. Add salt and soy sauce and mix well.', 'Add rice and adjust salt, toss and cook for 1 minute. Cover and cook on low heat for 2 minutes. Switch off heat, add vinegar and mix well.', 'Transfer into a serving bowl, garnish with spring onion greens and serve hot.']",,Indo-Chinese,Rice,,11-15 minutes,4,Mild,,Veg
Brownie - No Egg,[],"['Preheat oven at 180o C. Grease a square cake tin with some butter and dust with some flour.', 'Heat milk in a non-stick pan till warm.', 'Take chocolate in a bowl. Add warm milk and butter and mix well till the chocolate melts completely.', 'Add Sugar Free Natura Diet Sugar and walnuts and mix well. Add vanilla essence. Mix well', 'Sift together flour and baking powder into the chocolate mixture and mix till well blended into a batter.', 'Pour the batter into the prepared tin, tap a little and place it in the preheated oven. Bake for thirty minutes.', 'Remove tin from oven and cool brownie down to room temperature. Remove brownie from tin, cut into pieces and serve warm.']",,Fusion,Desserts,,26-30 minutes,4,Sweet,,Veg
Egg Fried Rice Recipe - SK Khazana,[],"['Break eggs into a bowl, add salt and beat well.', 'Heat oil in a non-stick pan, pour whisked eggs and scramble lightly.', 'Add spring onions, salt, crushed black pepper, cooked rice, vinegar and light soy sauce and toss gently for 2-3 minutes.', 'Transfer into a serving bowl and serve hot garnished with the spring onion greens.']",,"Indo-Chinese,Fusion",Rice,,6-10 minutes,4,Mild,,Non Veg
Sattu Pancakes,[],[],"Sattu, Yogurt, Whole wheat flour, Butter, Jaggery powder, Milk",Fusion,Snack,10-15 minutes,30-35 minutes,4,Sweet,Easy,Veg
Watermelon and Rose Cubes,[],"['Put 2 watermelon balls and a mint leaf in each square of an ice tray mould. Top up with rose syrup water, cover and freeze for 3-4 hours or till set.', 'Put cumin seeds, black salt and chaat masala in a mortar and crush with the pestle into fine powder.', 'Put 4-5 watermelon and rose cubes into each serving glass, add  1/2  teaspoon crushed cumin seeds mixture, 3-4 torn mint leaves and  1/2  cup white aerated drink and mix.', 'Garnish the rim of each glass with watermelon triangle and serve chilled immediately.']",,Fusion,Beverages,,0-5 minutes,4,Sweet & Sour,,Veg
Palak Paneer Sandwich,"['1 medium bunch spinach (palak), blanched and shredded', '200 grams cottage cheese (paneer), grated', '8 slices of bread', '1 tablespoon oil', '1 tablespoon chopped garlic', '1 green chilli, chopped', 'Salt to taste', '4 tablespoons grated processed cheese', '3 tablespoons grated mozzarella cheese', 'Butter as required', 'Tomato ketchup to serve', 'French fries to serve']","['Heat oil in a non-stick pan, add chopped garlic, green chilli, and saute for 1 minute.', 'Add spinach and saute well. Add salt and saute for 1-2 minutes. Transfer to a bowl.', 'In the same bowl, add cottage cheese, processed cheese, mozzarella cheese, and mix well.', 'Apply butter on 4 slices of bread, place a portion of the prepared stuffing on each and spread evenly. Cover with remaining slices of bread and apply butter on top.', 'Grease a grill toaster with butter and place the prepared sandwiches with the butter side up and grill till done.', 'Cut the sandwiches in half diagonally. Serve hot with French fries and tomato ketchup.']",,Fusion,Snacks and Starters,,11-15 minutes,4,Mild,,Veg
Madras Curry Powder,"['1 cup coriander seeds', '1 tablespoon black peppercorns', '1 teaspoon fenugreek seeds', '1 tablespoon cumin seeds', '1 tablespoon fennel seeds', '10-12 cloves', '1 teaspoon mustard seeds', '1 inch cinnamon', '10-12 green cardamoms', '10-12 dried red chillies', '20-25 curry leaves', '2 bay leaves', ' 1/2  teaspoon asafoetida (hing)', '6-8 garlic cloves, sliced and fried', ' 1/4  cup fried onions', '1 1/2  tablespoons turmeric powder', 'Salt to taste']","['Heat a earthenware pot, add coriander seeds, black peppercorns, fenugreek seeds, cumin seeds, fennel seeds, cloves, mustard seeds, cinnamon, green cardamoms and dried red chillies and dry roast for 2-3 minutes.', 'Add curry leaves and bay leaves and dry roast for 1 minute.', 'Add asafoetida and mix well. Transfer into a bowl and allow to cool down to room temperature.', 'Add fried garlic and fried onions and mix well.', 'Transfer into a blender jar, add turmeric powder and salt and grind to fine powder.', 'Transfer into a bowl and let it cool completely. Store in an airtight container and use as required.']","Coriander seeds, Black peppercorns, Fenugreek seeds, Fennel seeds, Cloves, Cinnamon, Green cardamoms, Black cardamoms, Dried red chillies,  Curry leaves, Garlic, Onion",South Indian,Powders,10-15 minutes,5-10 minutes,4,Spicy,Easy,Veg
Chicken Tikka Thai Style,[],"['Heat sufficient coal in a barbeque.', 'Take chicken pieces in a bowl, add Thai red curry paste and mix well. Add coconut milk and salt and mix well. Add olive oil and mix well. If you have the time you can keep the chicken in a refrigerator to marinate for 1-2 hours.', 'Pierce each skewer through 3-4 chicken pieces and place them on the barbeque. Cook, rotating the skewers, basting with a little butter, till cooked completely.', 'Spread the tossed salad in the centre of a serving plate, sprinkle some fried peanuts over the salad, place the chicken skewers over them and serve hot lemon wedges.']",,Thai,Snacks and Starters,,16-20 minutes,4,Spicy,,Non Veg
Thai Chicken Mango Curry-Cook Smart,[],"['Peel mango.', 'Heat oil in a non-stick pan. Add red curry paste and saute. Add onion and saute well.', 'Roughly chop ginger and add, mix and saute well.', 'Add mushrooms, mix and cook on high heat.', 'Add chicken pieces and mix well. Add sweet potato stock, mix, cover and cook for 10 minutes.', 'Slice peeled mango.', 'Add brown sugar, fish sauce and coconut milk, reduce heat and mix well.', 'Add basil leaves and mango slices and mix well. Cover and cook on low heat till the chicken is cooked.', 'Serve hot.']",,Thai,Main Course Chicken,,26-30 minutes,4,Tangy,,Non Veg
Tawa Pulao - Street Food,[],"['Heat oil in a non-stick pan. Add cumin seeds and saute till well browned. Add the onion and saute till lightly browned. Add ginger paste, garlic paste and tomatoes and saute till tomatoes become soft.', 'Add green peas, carrot, pav bhaji masala, red chilli paste and a little water. Mix and cook for two to three minutes.', 'Add the rice and mix. Add salt, green capsicum, coriander leaves and lemon juice and mix well.', 'Cook on high heat for a couple of minutes. Serve hot.']",,Indian,Rice,,11-15 minutes,4,Spicy,,Veg
Chocolate and Nut Rolls,[],"['To make sugar syrup, heat sugar in a non-stick pan. Add sufficient water and cook till the sugar dissolves.', 'Take refined flour in a bowl. Add  1/4  cup milk and knead into a semi soft dough. Set aside for 10-15 minutes.', 'Add  1/2  teaspoon milk to sugar syrup and mix well. Add lemon wedge, mix and remove the scum.', 'Combine chocolate and nuts in a bowl. Mix well.', 'Divide dough into equal portions. Grease a worktop with some oil, place the portions on it and roll out into medium size rotis. Cut them into squares or rectangles.', 'Place a portion of chocolate-nuts mixture in the center of the squares or rectangles, apply milk on the edges, roll and to seal the edge and make rolls.', 'Heat sufficient oil in a kadai. Deep-fry rolls till golden and crisp, Drain and put them in the sugar syrup to . Soak for a few minutes.', 'Drain, arrange them on a serving plate and serve immediately garnished with nuts.']",,"Fusion, , , ,",Desserts,,31-40 minutes,4,Sweet,,Veg
Goan Peas Coconut Pulao,[],"['Heat oil in a non-stick pan and add peppercorns, cardamoms, bay leaves, cloves, cinnamon and saute for 30 seconds.', 'Add ginger-garlic-green chilli paste, mix and saute. Add onion, mix and saute till translucent.', 'Add rice, mix and saute for a minute.', 'Boil 2 1/2  cups water in a microwave.', 'Add peas to the rice and cook for a minute on high heat. Add salt and mix well. Add boiled water and stir to mix. Cover and cook till it boils. Reduce heat and cook for 5-6 minutes.', 'Add coconut milk and mix well. Reduce heat, cover and cook for 2-3 minutes.', 'Add lemon juice and mix well.', 'Serve hot garnished with a coriander sprig.']",,Goan,Rice,,16-20 minutes,4,Mild,,Veg
Kulkul,[],"['Take butter in a bowl, add egg yolk and beat with an electric beater. Sieve powdered sugar into the bowl and continue to beat with the electric beater.', 'Sieve refined flour and salt into the bowl and mix. Add coconut milk, mix and knead into a stiff dough.', 'Divide the dough into small portions, spread each on the back of a fork and press lightly and roll to form kulkul. Place them on a plate.', 'Heat sufficient oil in a kadai, gently slide in the kulkuls into hot oil and deep-fry till golden. Drain on absorbent paper.', 'Place them on a serving plate, dust icing sugar over them']",,Goan,Snacks and Starters,,11-15 minutes,4,Sweet,,Non Veg
Butter Chicken Dumplings,[],"['Line a steamer with iceberg lettuce leaves.', 'Put tomatoes in a pressure cooker, add  1/2  cup water, mace, cardamoms, garlic, ginger, chilli powder, salt and 2 tablespoons butter, mix, cover and cook under pressure till 3-4 whistles are given out.', 'Put chicken tikka, remaining butter, 1 tablespoon cream, chaat masala and coriander leaves in a bowl and mix well.', 'Put some chicken tikka mixture in the center of each wonton sheet, get the ends together, press the center lightly and tie with a chive strip to seal.', 'Heat some water in a small deep non-stick pan. Place the lined steamer on top and bring water to boil.', 'Place the chicken wontons in the lined steamer, cover and steam for 4-5 minutes.', 'Blend the pressure cooked tomatoes with a hand blender to a smooth mixture.', 'Heat another deep non-stick pan and strain the tomato mixture into it. Add garam masala powder, dried fenugreek powder and honey and mix. Add remaining cream, mix and cook for 2-3 minutes.', 'Put tomato gravy in a serving plate, place the steamed wontons over it and serve immediately.']",,Indo-Chinese,Main Course Chicken,,21-25 minutes,4,Mild,,Non Veg
Beancurd Bhurjee Sandwich,[],"['Finely chop onion, ginger and green chillies separately.', 'Heat oil in a non stick pan, add onion and saute. Chop tomato. Add ginger and green chillies to the onion and saute for 2 minutes.', 'Add tomato and mix and saute. Crumble bean curd. Add turmeric powder and red chilli powder to the pan and mix. Add bean curd and salt and mix and saute for 1-2 minutes.', 'Chop coriander leaves and mint leaves and add and mix well.', 'Heat a grill. Spread bean curd mixture over 4 brown bread slices, cover with the remaining 4 slices.', 'Drizzle a little oil on the grill, place the sandwiches on it, close the lid and grill till golden and crisp. Serve hot.']",,Indian,Snacks and Starters,,11-15 minutes,4,Spicy,,Veg
Til Gud Laddoo - SK Khazana,[],"['Heat a non-stick pan, add white sesame seeds and roast on low heat till crisp and light brown. Transfer into a bowl.', 'Add dried coconut to the same pan and roast on low heat till light brown. Transfer into the same bow and mix.', 'Heat ghee in the same pan, chikki wala gud and let it melt. Further cook on medium heat till the syrup reaches hard ball consistency.', 'Add sesame seeds mixture to the melted jiggery. Add peanuts, roasted chana dal and nutmeg powder and mix well. Roll into laddoos while still hot and keep them on a plate to cool.', 'Serve or store in an airtight container to serve when required.']",,Maharashtrian,Mithais,,26-30 minutes,4,Sweet,,Veg
Secret Pizza,[],"['Preheat oven to 180degC . Place 2 brown bread slices on a baking tray and toast in the preheated oven. In a bowl, mix pizza pasta sauce and veg Bolognese sauce.', 'Take the toasted bread slices out of the oven. Spread the sauce mixture over them generously.', 'Cut mozzarella cheese into small cubes and spread them over the sauce. Over that spread a little onion slices, red capsicum slices, green capsicums, jalapenos, black olives. Put some more mozzarella cheese pieces over the vegetables.', 'Turn on the temperature of the oven to its highest, keep the tray in it and bake till the cheese begins to melt. Cut into triangles and serve hot.']",,Italian,Snacks and Starters,,31-40 minutes,4,Tangy,,Veg
Masala Breakfast Dalia,[],"['Chop ginger finely. Cut green chillies and onion into large pieces. Heat oil in a non stick pan, add 1 cumin seeds and saute till light brown.', 'Add ginger, green chillies and onion and saute till lightly coloured. Drain and add dalia to the pan and mix. Add turmeric powder, salt and mix well. Add green peas and 3 cups water and mix. Cover and cook on the low heat till done. Cut tomato into large pieces and add. Mix well and serve hot.']",,Indian,Snacks and Starters,,11-15 minutes,4,Spicy,,Veg
Plum and Grape Tea Cake,[],"['Preheat oven at 180degC. Line a 7-inch round cake tin by greasing with little butter and dusting with little flour.', 'Cut grapes into quarters. Roughly chop plums discarding the seed. Put these fruits in a bowl.', 'Cream together butter and castor sugar till creamy.', 'Break eggs in another bowl and beat well with an electric beater.', 'Add beaten eggs to butter-sugar mixture and blend with the electric beater till well mixed.', 'Add refined flour, almond powder, lemon juice, lemon rind, chopped fruits and fold lightly till well mixed.', 'Pour the batter in the prepared cake tin, tap a little and level it out. Put the tin in preheated oven and bake for 20-25 minutes.', 'Remove from oven and demould. Cut the cake into wedges, dust with icing sugar and serve.']",,Fusion,Desserts,,26-30 minutes,4,Sweet,,Non Veg
Five Spice Chicken and Pear Stir Fry,[],"['Heat oil in a non-stick pan, add ginger and saute till it is lightly burnt.', 'Quarter the USA Pear, remove the seeds and cut into 1 inch pieces.', 'Add red chillies into the pan. Add U.S. Chicken, mix and saute on high heat for 2-3 minutes. Add dark soy sauce and five spice powder, toss well and continue to cook on high heat for 4-5 minutes.', 'Add pear pieces, toss well and cook for 1-2 minutes or till the pear is slightly softened.', 'Add broccoli florets, toss again and cook for 1-2 minutes.', 'Take the pan off the heat and transfer into a bowl. Drizzle sesame oil, garnish with white sesame seeds and serve hot.']",,Fusion,Main Course Chicken,,16-20 minutes,4,Spicy,,Non Veg
Green Tea Cake with White Chocolate Frosting,[],"['Preheat oven at 180oC. Grease 2 baking tins with some butter and dust some refined flour.', 'Cream together butter and castor sugar with an electric blender till soft and fluffy. Add condensed milk and mix well.', 'Take a green tea bag in a bowl, add 2-3 tablespoons warm water and set aside. Add green tea decoction to butter cream mixture, mix and whisk well using the electric blender. Add edible green color and vanilla essence and mix well.', 'Sift together refined flour, baking powder and baking soda into the butter cream mixture and fold in well.', 'Fill both the greased baking tins with the batter. Place the baking tins on a baking tray, place the baking tray in the preheated oven and bake for 20-22 minutes. Remove from oven and demould.', 'To prepare icing, heat cream in a non-stick pan till warm.', 'Put white chocolate in another bowl, add warm cream and mix well till chocolate melts. Add whipped cream and fold in gently. Refrigerate till set.', 'Trim off a thin slice from the top of each cake to level the surface and reserve the slices. Halve both the cakes horizontally.', 'Place one half cake on a worktop, brush some sugar syrup, spread some icing mixture and place another half over it. Repeat the process till all the halves are used. Level the sides of the cake and cover with some icing mixture.', 'Put the remaining icing mixture in a piping bag fitted with star nozzle and pipe out rosettes on the outer edge of the top of the cake. Crumble the reserve cake slices and place them in the center. Decorate with the edible golden balls.', 'Serve.']",,Fusion,Desserts,,31-40 minutes,4,Sweet,,Veg
Pumpkin Poriyal,"['400 grams red pumpkin, peeled and cut into 1 inch cubes', ' 1/4  cup scraped fresh coconut + for garnish', '2 tablespoons coconut oil', '1 1/2  teaspoons mustard seeds', '2 dried red chillies', '8-10 curry leaves', '1 1/2  teaspoons split skinless Bengal gram (dhuli chana dal)', '1 1/2  teaspoons split skinless black gram (dhuli urad dal)', ' 1/2  teaspoon asafoetida (hing)', '10-15 madras onions, sliced', '2 green chillies, chopped', '2 teaspoons sambhar masala', ' 1/4  teaspoon turmeric powder', ' 1/2  teaspoon sugar']","['Heat oil in a non-stick pan, add mustard seeds and let them splutter. Break dried red chillies and add into the pan. Add curry leaves, split skinless Bengal gram, split skinless black gram and asafoetida and mix well. Cook till the gram mixture change colour.', 'Add madras onions and saute till translucent. Add green chillies and mix well. Add pumpkin and saute for 1 minute.', 'Add sambhar masala and salt, mix well. Add turmeric powder and mix. Add  1/4  cup water, mix and cover and cook for 8-10 minutes, stirring in between.', 'Add sugar and scraped fresh coconut and mix well. Take the pan off the heat. Transfer into a serving bowl.', 'Garnish with coconut and serve hot.']",,Kerala,Main Course Vegetarian,,21-25 minutes,4,Mild,,Veg
Sev Parantha - SK Khazana,[],"['Take mota sev in a bowl, add onion, red chilli powder, coriander powder, dried mango powder, cumin powder, salt, carom seeds, green chillies and coriander leaves and mix well.', 'Divide the dough into equal portions and shape them into balls. Dust each ball with flour and roll out into small discs. Apply a little ghee evenly, place some sev mixture in the centre of each disc, bring the edges together and press to seal. . Roll each stuff ball in flour and roll it into paratha.', 'Heat a non-stick tawa, place one paratha at a time on it, and cook for a minute. Flip and apply some ghee on it. Flip again and apply ghee on the other side too and cook, turning sides till the parantha is evenly cooked and golden.', 'Place the paranthe on a serving plate and serve hot with sev kachumber and yogurt.']",,"Indian,Fusion",Breads,,31-40 minutes,4,Mild,,Veg
Shaami Kabab Wrap,[],"['Heat mutton mince in a deep non-stick pan. Add Bengal gram, garlic, cumin seeds, peppercorns, cinnamon, cloves, cardamoms, red chillies, salt and sufficient water and mix well. Cook till the mutton and gram gets fully cooked. Remove from heat, cool to room temperature and grind to a fine paste. Transfer in a bowl.', 'Add chopped onion and green chillies.', 'Chop coriander and add. Chop mint and add along with lemon juice, salt and garam masala powder and mix well.', 'Break egg in a bowl and whisk well.', 'Divide prepared mixture into equal portions and shape them into kababs.', 'Heat some oil in a non-stick pan.', 'Dip the prepared kababs in the whisked egg, place on the pan and shallow-fry in hot oil till golden and crisp. Drain on absorbent paper.', 'Heat a non-stick tawa. Place tortillas on it and roast till hot.', 'Place tortilla on a worktop. Put prepared kabab in the centre, crush lightly and top with onion rings. Drizzle some lemon juice and sprinkle chaat masala on top. Tear lettuce and add. Roll to make a wrap.', 'Serve immediately garnished with onion rings, lettuce, lemon wedges and mint sprig.']",,Fusion,Snacks and Starters,,1-1.30 hour,4,Spicy,,Non Veg
Zesty Fish Tikka,[],"['Preheat oven at 180oC. Line a baking tray with an aluminum foil and grease with some oil.', 'Take fish pieces in a bowl. Add lemon juice, mix and set aside for 15 minutes.', 'Combine yogurt, salt, ginger-garlic paste, crushed peppercorns, chilli powder and garam masala powder in another bowl and mix well. Add 1 tablespoon oil and mix again.Add fish and mix well. Set aside for 30 minutes.', 'Grind together rock salt, pomegranate seeds, fenugreek leaves, carom seeds and caraway seeds to a fine powder.', 'Insert marinated fish pieces onto satay sticks.', 'Put the satay sticks onto the baking tray. Place the baking tray in preheated oven and bake for 15 minutes.', 'Sprinkle prepared spice powder on top and serve hot.']",,Indian,Snacks and Starters,,11-15 minutes,4,Spicy,,Non Veg
Prunes and Walnut Lollypops,[],"['Dry roast walnuts in a non-stick wok for 4-5 minutes. Cool and grind them into a coarse powder and transfer it into a bowl.', 'Cook prunes in the same wok, stirring continuously, for 4-5 minutes or till pulpy.', 'Add walnut powder and green cardamom powder and mix well. Divide the mixture into small equal portions and shape them into balls.', 'Pierce one end of the lollipop stick into each ball.', 'Arrange on a serving plate and serve.']",,Fusion,Desserts,,16-20 minutes,4,Sweet,,Veg
Vella Fae,[],"['Dry roast semolina in a non-stick pan till fragrant.', 'Heat  1/2  teaspoon ghee in another non-stick pan. Add semolina, mix and saute on low heat till 2-3 minutes. Remove from heat, transfer into a bowl and cool down to room temperature.', 'Add sugar, cashewnuts, cardamom powder and soda bicarbonate. Add milk gradually and mix well to make a smooth batter. Set aside for 10 minutes.', 'Heat a paniyaram pan. Pour a few drops of ghee in each dent. Pour a spoonful of batter into each dent, cover and cook on low heat for 2-3 minutes on each side or till they become fluffy and golden.', 'Serve immediately.']",,Fusion,Snacks and Starters,,16-20 minutes,4,Sweet,,Veg
Perfect French Fries,[],"['Trim the 4 sides of the potatoes to give them rectangular shape. Cut into thin slices and further cut into thin finger like strips and soak them in water.', 'Drain them and put into another bowl.', 'Heat sufficient oil in a kadai, put the potato fingers into hot oil and deep-fry till partly done. Drain them on absorbent paper.', 'Let them cool down to room temperature, transfer them into zip lock bags and freeze them in the freezer.', 'Just before serving, bring them out of the freezer and deep-fry them in hot oil till golden and crisp. Drain on absorbent paper.', 'Sprinkle salt over them and mix them properly. Transfer them onto a serving platter and serve immediately.']",,French,Snacks and Starters,,16-20 minutes,4,Mild,,Veg
